year,IncomeGroup,MeanGrocerySpend,MeanDiningOutSpend,MeanSchoolLunchSpend,MeanTotalFoodSpend,MedianTotalFoodSpend,n_households
2013,"$10,000 to $14,999",789.4964028776978,209.41062534587715,154.89473684210526,1000.535694521306,845,1807
2013,"$15,000 to $19,999",861.0753186558517,247.68018539976825,110.82352941176471,1109.8470451911935,975,1726
2013,"$20,000 to $29,999",988.5288874215913,317.81776163750413,118.31372549019608,1308.3387256520305,1170,3029
2013,"$30,000 to $39,999",1075.3293368302734,361.86736605470213,152.47619047619048,1443.1952041963282,1300,2669
2013,"$40,000 to $49,999",1156.1996527777778,420.51866319444446,138.39837398373984,1584.1067708333333,1430,2304
2013,"$5,000 to $9,999",769.7668711656441,203.08588957055215,85.45454545454545,973.6765994741455,780,1141
2013,"$50,000 to $69,999",1226.98336061102,503.5559192580469,160.04098360655738,1741.1912165848337,1602,3666
2013,"$70,000 and over",1574.3297823066234,784.8080129689671,197.42832014072118,2385.1308476146364,2145,8636
2013,"Less than $5,000",812.4601769911504,219.73893805309734,202.36,1036.6761061946902,845,1130
2013,Unknown,1201.1346168656141,491.0443332049801,172.58494363929145,1703.1839815171352,1495,38955
2014,"$10,000 to $14,999",493.7005649717514,199.13831775700933,771.9013271783035,987.5705607476635,845,2140
2014,"$15,000 to $19,999",509.9655612244898,261.5577651515151,885.2525133057362,1159.6519886363637,1040,2112
2014,"$20,000 to $29,999",578.0101694915254,326.08057742782154,1000.8589659685864,1352.6396325459318,1200,3810
2014,"$30,000 to $39,999",592.1204500330907,373.5219683655536,1095.849395382924,1511.5615114235502,1365,3414
2014,"$40,000 to $49,999",555.8962746530314,440.422778561354,1139.1832755632581,1635.8589562764457,1490,2836
2014,"$5,000 to $9,999",463.4610655737705,215.83580980683507,767.7476635514018,994.18573551263,819,1346
2014,"$50,000 to $69,999",613.348095659876,525.6356266432954,1254.7562685359935,1848.7800175284838,1690,4564
2014,"$70,000 and over",651,809.2408834586466,1549.3322409311786,2487.3996240601505,2240,10640
2014,"Less than $5,000",513.1857142857143,214.90712884238064,798.0678513731825,1049.0418574231524,845,1529
2014,Unknown,599.2974035178146,505.4986879071347,1201.0207330477958,1770.9188663517643,1552,64782
2015,"$10,000 to $14,999",60.79043913285158,473.68556430446193,1134.2766404199474,1665.3700787401574,1395,1905
2015,"$15,000 to $19,999",60.84155844155844,482.6871287128713,1175.2846534653465,1715.9519801980198,1430,2020
2015,"$20,000 to $29,999",56.30737340835061,495.2812324929972,1177.4728291316526,1726.0173669467788,1473.5,3570
2015,"$30,000 to $39,999",58.018787663948956,513.9096405777628,1207.5172992945918,1776.4054417198522,1560,2977
2015,"$40,000 to $49,999",61.213957375679065,506.76702508960574,1227.0286738351253,1792.1330147351653,1560,2511
2015,"$5,000 to $9,999",53.40432098765432,469.36583011583014,1150.703667953668,1670.1747104247104,1430,1036
2015,"$50,000 to $69,999",64.35827664399093,524.069605009634,1226.1926782273604,1811.7839595375722,1607.5,4152
2015,"$70,000 and over",72.44646404449742,596.2729802341202,1322.8421608136634,1989.1008443676837,1729,10422
2015,"Less than $5,000",56.23947972456006,457.93687230989957,1170.3923959827835,1681.0588235294117,1430,1394
2015,Unknown,64.16393614419952,532.3281526198178,1237.7688356735484,1831.3590701397459,1566,59966
2016,"$10,000 to $14,999",67.702924576706,568.6664956387891,1264.5833760903026,1900.9527963057978,1625,1949
2016,"$15,000 to $19,999",61.5743879472693,549.4905838041432,1241.788606403013,1852.8535781544256,1625,2124
2016,"$20,000 to $29,999",59.30477223427332,547.0650759219089,1226.0737527114968,1832.443600867679,1590,3688
2016,"$30,000 to $39,999",65.50618458610847,540.1379638439581,1254.6301934665398,1860.2743418966063,1645,3153
2016,"$40,000 to $49,999",61.7390990990991,546.6872072072072,1240.7809009009009,1849.2072072072071,1620,2775
2016,"$5,000 to $9,999",67.93699369936994,575.2628262826282,1277.6471647164717,1920.84698469847,1599,1111
2016,"$50,000 to $69,999",65.06530028598665,560.5881792183031,1246.2347473784557,1871.8882268827456,1625,4196
2016,"$70,000 and over",60.552419703921736,555.0069258072895,1254.8982772054367,1870.4576227166478,1625,11551
2016,"Less than $5,000",61.92348484848485,526.4037878787879,1215.1613636363636,1803.4886363636363,1560,1320
2016,Unknown,62.40720630237595,552.6651705847274,1247.9726938890808,1863.045070776184,1625,63722
2017,"$10,000 to $14,999",61.37918660287081,589.9276315789474,1282.9288277511962,1934.2356459330144,1656.5,1672
2017,"$15,000 to $19,999",59.704488149268784,547.6399394856278,1269.523953605648,1876.8683812405445,1664,1983
2017,"$20,000 to $29,999",65.81170703575548,574.7306805074971,1259.2295271049597,1899.7719146482123,1644.5,3468
2017,"$30,000 to $39,999",72.48664971392245,550.0835982199618,1267.2670057215512,1889.8372536554355,1680,3146
2017,"$40,000 to $49,999",63.06341656757828,558.6242568370986,1268.7074910820452,1890.3951644867223,1625,2523
2017,"$5,000 to $9,999",65.6485655737705,564.7858606557377,1254.9764344262296,1885.4108606557377,1625,976
2017,"$50,000 to $69,999",62.75863758882627,539.9728007841215,1230.4839500122519,1833.2153883851997,1610,4081
2017,"$70,000 and over",62.239279216841375,571.0762366802392,1261.8953478298536,1895.2108637269341,1625,11543
2017,"Less than $5,000",61.34285714285714,580.2054054054054,1261.7984555984556,1903.346718146718,1625,1295
2017,Unknown,63.718992374372675,563.7999739294793,1259.871993743075,1887.390960046927,1625,61372
2018,"$10,000 to $14,999",67.76872964169381,546.8208469055375,1191.5928338762214,1806.1824104234527,1775,307
2018,"$15,000 to $19,999",66.3249299719888,556.9579831932773,1271.2100840336134,1894.4929971988795,1690,357
2018,"$20,000 to $29,999",69.35620437956204,569.4590643274854,1281.8715328467154,1919.8554744525547,1625,685
2018,"$30,000 to $39,999",73.70430107526882,529.0089605734767,1215.016129032258,1817.7293906810037,1610,558
2018,"$40,000 to $49,999",74.48148148148148,647.4444444444445,1330.4424951267056,2052.3684210526317,1820,513
2018,"$5,000 to $9,999",69.64739884393063,500.94797687861274,1233.8092485549132,1804.4046242774566,1560,173
2018,"$50,000 to $69,999",66.04959785522789,532.9383378016086,1272.441018766756,1871.4289544235926,1585,746
2018,"$70,000 and over",68.68110236220473,592.9842519685039,1302.5826771653544,1964.248031496063,1664,2286
2018,"Less than $5,000",67.93470790378007,596.639175257732,1346.9003436426117,2011.4742268041236,1680,291
2018,Unknown,69.30059403018116,596.5136278657876,1295.555731837804,1961.3332718395257,1690,81309
2019,Unknown,68.58599326775727,594.4720421234626,1309.6797338537506,1972.7221967543778,1690,76349
2020,Unknown,83.24079105534423,518.5065634521947,1427.1555383576756,2028.7635474469382,1720,60731
2021,Unknown,82.28663026188485,606.3029701671231,1500.5774098360655,2188.8730163934424,1846,61000
2022,Unknown,86.51461240904521,712.568796864349,1658.209549614028,2457.2565308522057,2080,58683
2023,Unknown,404.97210524542663,274.8288053755025,375.8496767241381,730.250883889466,189,113702
2024,Unknown,1113.4667198086888,188.92276744894846,79.55186721991701,428.16909478817433,104,32810
NA,Unknown,NA,NA,NA,0,0,7
